,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
60,32,0,1,427.0,864,1,3,414,1,78.0,1,781,33.0,3,2,132,4,614,6162.0,10877,1,1320,381,22,4,2,80,1,9,3,3,9,8,7,8
62,50,0,1,989.0,864,7,2,414,1,80.0,2,539,43.0,2,5,74,3,283,18034.8125,16701,5,1320,381,12,3,4,80,1,29,2,2,27,3,13,8
63,59,0,1,1435.0,399,25,3,543,1,81.0,1,539,99.0,3,3,287,1,423,7637.0,2354,7,1320,939,11,3,4,80,0,28,3,2,21,16,7,9
64,36,0,1,1223.0,864,8,3,118,1,83.0,3,539,59.0,3,3,116,3,283,10096.0,8202,1,1320,939,13,3,2,80,3,17,2,3,17,14,12,8
65,55,0,1,836.0,864,8,3,414,1,84.0,4,539,33.0,3,4,90,3,283,14756.0,19730,2,1320,381,14,3,3,80,3,21,2,3,5,0,0,2
67,45,0,1,1339.0,864,7,3,543,1,86.0,2,781,59.0,3,3,264,1,283,9724.0,18787,2,1320,939,17,3,3,80,1,25,2,3,1,0,0,0
69,36,1,1,318.0,864,9,3,414,1,90.0,4,781,79.0,2,1,264,3,614,3388.0,21777,0,1320,381,17,3,1,80,1,2,0,2,1,0,0,0
71,29,0,1,1328.0,864,2,3,543,1,94.0,3,781,76.0,3,1,264,2,614,2703.0,4956,0,1320,939,23,4,4,80,1,6,3,3,5,4,0,4
72,31,0,1,1082.0,864,1,4,414,1,95.0,3,781,87.0,3,1,264,2,423,2501.0,18775,1,1320,939,17,3,2,80,0,1,4,3,1,1,1,0
73,32,0,1,548.0,864,1,3,543,1,96.0,2,781,66.0,3,2,264,2,614,6220.0,7346,1,1320,939,17,3,2,80,2,10,3,3,10,4,0,9
74,36,0,1,132.0,864,6,3,543,1,97.0,2,539,55.0,4,1,231,4,614,3038.0,22002,3,1320,939,12,3,2,80,0,5,3,3,1,0,0,0
75,31,0,1,746.0,864,8,4,543,1,98.0,3,539,61.0,3,2,132,4,423,4424.0,20682,1,1320,939,23,4,4,80,0,11,2,3,11,7,1,8
76,35,0,1,776.0,399,1,4,147,1,100.0,3,781,32.0,2,2,287,1,423,4312.0,23016,0,1320,939,14,3,2,80,0,16,2,3,15,13,2,8
77,45,0,1,193.0,864,6,4,75,1,101.0,4,781,52.0,3,3,74,1,614,13245.0,15067,4,1320,381,14,3,2,80,0,17,3,4,0,0,0,0
78,37,0,1,397.0,864,7,4,414,1,102.0,1,781,30.0,3,3,74,3,423,13664.0,25258,4,1320,939,13,3,1,80,0,16,3,4,5,2,0,2
79,46,0,1,945.0,57,5,2,414,1,103.0,2,781,80.0,3,2,48,2,283,5021.0,10425,8,1320,381,22,4,4,80,1,16,2,3,4,2,0,2
80,30,0,1,852.0,864,1,1,543,1,104.0,4,781,55.0,2,2,231,4,614,5126.0,15998,1,1320,381,12,3,3,80,2,10,1,2,10,8,3,0
81,35,0,1,1214.0,864,1,3,414,1,105.0,2,781,30.0,2,1,264,3,423,2859.0,26278,1,1320,939,18,3,1,80,0,6,3,3,6,4,0,4
82,55,0,1,111.0,399,1,2,543,1,106.0,1,781,70.0,3,3,287,4,614,10239.0,18092,3,1320,939,14,3,4,80,1,24,4,3,1,0,1,0
84,34,0,1,1153.0,864,1,2,414,1,110.0,1,781,94.0,3,2,132,2,614,4325.0,17736,1,1320,939,15,3,3,80,0,5,2,3,5,2,1,3
85,56,0,1,1400.0,864,7,3,543,1,112.0,4,781,49.0,1,3,132,4,423,7260.0,21698,4,1320,939,11,3,1,80,0,37,3,2,6,4,0,2
86,23,0,1,541.0,399,2,1,118,1,113.0,3,781,62.0,3,1,78,1,283,2322.0,9518,3,1320,939,13,3,3,80,1,3,3,3,0,0,0,0
87,51,0,1,432.0,864,9,4,543,1,116.0,4,781,96.0,3,1,231,4,614,2075.0,18725,3,1320,939,23,4,2,80,2,10,4,3,4,2,0,3
88,30,0,1,288.0,864,2,3,543,1,117.0,3,781,99.0,2,2,116,4,614,4152.0,15830,1,1320,939,19,3,1,80,3,11,3,3,11,10,10,8
89,46,1,1,669.0,399,9,2,414,1,118.0,3,781,64.0,2,3,287,4,423,9619.0,13596,1,1320,939,16,3,4,80,0,9,3,3,9,8,4,7
91,51,0,1,632.0,399,21,4,147,1,120.0,3,781,71.0,3,2,287,4,423,5441.0,8423,0,1320,381,22,4,4,80,0,11,2,1,10,7,1,0
92,30,0,1,1334.0,399,4,2,414,1,121.0,3,539,63.0,2,2,287,2,283,5209.0,19760,1,1320,381,12,3,2,80,3,11,4,2,11,8,2,7
94,32,0,1,1093.0,399,6,4,414,1,125.0,2,781,87.0,3,2,287,3,423,5010.0,24301,1,1320,939,16,3,1,80,0,12,0,3,11,8,5,7
95,54,0,1,1217.0,864,2,4,118,1,126.0,1,539,60.0,3,3,74,3,614,13549.0,24001,9,1320,939,12,3,1,80,1,16,5,1,4,3,0,3
96,24,0,1,1353.0,399,3,2,75,1,128.0,1,539,33.0,3,2,287,3,614,4999.0,17519,0,1320,939,21,4,1,80,1,4,2,2,3,2,0,2
98,58,0,1,682.0,399,10,4,414,1,131.0,4,781,37.0,3,4,287,3,423,13872.0,24409,0,1320,939,13,3,3,80,0,38,1,2,37,10,1,8
100,37,1,1,807.0,57,6,4,23,1,133.0,3,781,63.0,3,1,48,1,283,2073.0,23648,4,1320,381,22,4,4,80,0,7,3,3,3,2,0,2
101,32,0,1,827.0,864,1,1,543,1,134.0,4,781,71.0,3,1,264,1,423,2956.0,15178,1,1320,939,13,3,4,80,0,1,2,3,1,0,0,0
103,34,0,1,665.0,864,6,4,75,1,138.0,1,539,41.0,3,2,264,3,423,4809.0,12482,1,1320,939,14,3,3,80,0,16,3,3,16,13,2,10
107,25,1,1,240.0,399,5,3,147,1,142.0,3,781,46.0,2,2,287,3,423,5744.0,26959,1,1320,381,11,3,4,80,0,6,1,3,6,4,0,3
108,25,0,1,1280.0,864,7,1,414,1,143.0,4,781,64.0,2,1,264,4,614,2889.0,26897,1,1320,939,11,3,3,80,2,2,2,3,2,2,2,1
109,22,0,1,534.0,864,15,3,414,1,144.0,2,539,59.0,3,1,231,4,423,2871.0,23785,1,1320,939,15,3,3,80,0,1,5,3,0,0,0,0
113,24,0,1,1127.0,864,18,1,543,1,150.0,2,781,52.0,3,1,231,3,614,2774.0,13257,0,1320,939,12,3,3,80,1,6,2,3,5,3,1,2
114,34,0,1,1031.0,864,6,4,543,1,151.0,3,539,45.0,2,2,264,2,283,4505.0,15000,6,1320,939,15,3,3,80,1,12,3,3,1,0,0,0
115,37,0,1,1189.0,399,3,3,543,1,152.0,3,781,87.0,3,3,287,4,423,7428.0,14506,2,1320,939,12,3,1,80,0,12,3,3,5,3,1,3
116,34,0,1,1354.0,864,5,3,414,1,153.0,3,539,45.0,2,3,90,1,423,11631.0,5615,2,1320,939,12,3,4,80,0,14,6,3,11,10,5,8
118,36,0,1,922.0,864,3,2,543,1,155.0,1,539,39.0,3,1,231,4,283,2835.0,2561,5,1320,939,22,4,1,80,1,7,2,3,1,0,0,0
122,56,1,1,441.0,864,14,4,543,1,161.0,2,539,72.0,3,1,264,2,614,4963.0,4510,9,1320,381,18,3,1,80,3,7,2,3,5,4,4,3
123,51,0,1,684.0,864,6,3,543,1,162.0,1,781,51.0,3,5,74,3,423,18034.8125,6462,7,1320,939,13,3,3,80,0,23,5,3,20,18,15,15
124,31,1,1,249.0,399,6,4,543,1,163.0,2,781,76.0,1,2,287,3,614,6172.0,20739,4,1320,381,18,3,2,80,0,12,3,2,7,7,7,7
125,26,0,1,841.0,864,6,3,75,1,164.0,3,539,46.0,2,1,264,2,614,2368.0,23300,1,1320,939,19,3,3,80,0,5,3,2,5,4,4,3
126,58,1,1,147.0,864,23,4,414,1,165.0,4,539,94.0,3,3,116,4,614,10312.0,3465,1,1320,939,12,3,4,80,1,40,3,2,40,10,15,6
127,19,1,1,528.0,399,22,1,147,1,167.0,4,781,50.0,3,1,78,3,423,1675.0,26820,1,1320,381,19,3,4,80,0,0,2,2,0,0,0,0
128,22,0,1,594.0,864,2,1,118,1,169.0,3,781,100.0,3,1,231,4,614,2523.0,19299,0,1320,939,14,3,3,80,1,3,2,3,2,1,2,1
129,49,0,1,470.0,864,20,4,414,1,170.0,3,539,96.0,3,2,132,1,614,6567.0,5549,1,1320,939,14,3,3,80,0,16,2,2,15,11,5,11
132,31,1,1,542.0,399,20,3,543,1,175.0,2,539,71.0,1,2,287,3,614,4559.0,24788,3,1320,381,11,3,3,80,1,4,2,3,2,2,2,2
133,41,0,1,802.0,399,9,1,543,1,176.0,3,781,96.0,3,3,287,3,283,8189.0,21196,3,1320,381,13,3,3,80,1,12,2,3,9,7,0,7
134,26,0,1,1355.0,57,25,1,543,1,177.0,3,539,61.0,3,1,48,3,614,2942.0,8916,1,1320,939,23,4,4,80,1,8,3,3,8,7,5,7
135,36,0,1,216.0,864,6,2,414,1,178.0,2,781,84.0,3,2,132,2,283,4941.0,2819,6,1320,939,20,4,4,80,2,7,0,3,3,2,0,1
137,39,0,1,1329.0,399,4,4,543,1,182.0,4,539,47.0,2,2,287,3,614,5902.0,14590,4,1320,939,14,3,3,80,1,17,1,4,15,11,5,9
138,25,0,1,959.0,399,28,3,543,1,183.0,1,781,41.0,2,2,287,3,614,8639.0,24835,2,1320,939,18,3,4,80,0,6,3,3,2,2,2,2
139,30,0,1,1240.0,57,9,3,23,1,184.0,3,781,48.0,3,2,48,4,614,6347.0,13982,0,1320,381,19,3,4,80,0,12,2,1,11,9,4,7
140,32,1,1,1033.0,864,9,3,414,1,190.0,1,539,41.0,3,1,231,1,423,4200.0,10224,7,1320,939,22,4,1,80,0,10,2,4,5,4,0,4
141,45,0,1,1316.0,864,29,3,414,1,192.0,3,781,83.0,3,1,264,4,423,3452.0,9752,5,1320,939,13,3,2,80,0,9,2,2,6,5,0,3
142,38,0,1,364.0,864,3,5,118,1,193.0,4,539,32.0,3,2,264,3,423,4317.0,2302,3,1320,381,20,4,2,80,0,19,2,3,3,2,2,2
143,30,0,1,438.0,864,18,3,543,1,194.0,1,539,75.0,3,1,264,3,423,2632.0,23910,1,1320,939,14,3,3,80,0,5,4,2,5,4,0,4
145,30,0,1,201.0,864,5,3,118,1,197.0,4,539,84.0,3,1,264,1,283,3204.0,10415,5,1320,939,14,3,4,80,1,8,3,3,3,2,2,2
146,30,0,1,1427.0,864,2,1,414,1,198.0,2,781,35.0,2,1,231,4,423,2720.0,11162,0,1320,939,13,3,4,80,0,6,3,3,5,3,1,2
148,41,0,1,933.0,864,9,4,543,1,200.0,3,781,94.0,3,1,231,1,614,2238.0,6961,2,1320,939,21,4,4,80,1,7,2,3,5,0,1,4
149,19,0,1,1181.0,864,3,1,414,1,201.0,2,539,79.0,3,1,231,2,423,1483.0,16102,1,1320,939,14,3,4,80,0,1,3,3,1,0,0,0
151,35,0,1,662.0,399,1,5,147,1,204.0,3,781,94.0,3,3,287,2,614,7295.0,11439,1,1320,939,13,3,1,80,2,10,3,3,10,8,0,6
152,53,0,1,1436.0,399,6,2,147,1,205.0,2,781,34.0,3,2,78,3,614,2306.0,16047,2,1320,381,20,4,4,80,1,13,3,1,7,7,4,5
153,45,0,1,194.0,864,9,3,543,1,206.0,2,781,60.0,3,2,231,2,283,2348.0,10901,8,1320,939,18,3,3,80,1,20,2,1,17,9,0,15
156,51,0,1,1169.0,864,7,4,414,1,211.0,2,781,34.0,2,2,132,3,614,6132.0,13983,2,1320,939,17,3,3,80,0,10,2,3,1,0,0,0
157,58,0,1,1145.0,864,9,3,414,1,214.0,2,539,75.0,2,1,264,2,614,3346.0,11873,4,1320,381,20,4,2,80,1,9,3,2,1,0,0,0
158,40,0,1,630.0,399,4,4,147,1,215.0,3,781,67.0,2,3,287,4,614,10855.0,8552,7,1320,939,11,3,1,80,1,15,2,2,12,11,2,11
160,22,0,1,1256.0,864,19,1,414,1,217.0,3,781,80.0,3,1,264,4,614,2323.0,11992,1,1320,939,24,4,1,80,2,2,6,3,2,2,2,2
162,28,0,1,440.0,864,21,3,414,1,221.0,3,781,42.0,3,1,264,4,614,2713.0,6672,1,1320,939,11,3,3,80,1,5,2,1,5,2,0,2
163,57,0,1,334.0,864,24,2,543,1,223.0,3,781,83.0,4,3,116,4,283,9439.0,23402,3,1320,381,16,3,2,80,1,12,2,1,5,3,1,4
165,50,0,1,1452.0,864,11,3,543,1,226.0,3,539,53.0,3,5,90,2,423,18034.8125,17053,3,1320,939,15,3,2,80,0,21,5,3,5,4,4,4
166,41,0,1,465.0,864,14,3,543,1,227.0,1,781,56.0,3,1,264,3,283,2451.0,4609,4,1320,939,12,3,1,80,1,13,2,3,9,8,1,8
167,30,0,1,1339.0,399,5,3,543,1,228.0,2,539,41.0,3,3,287,4,614,9419.0,8053,2,1320,939,12,3,3,80,1,12,2,3,10,9,7,4
168,38,0,1,702.0,399,1,4,543,1,230.0,1,539,59.0,2,2,287,4,423,8686.0,12930,4,1320,939,22,4,3,80,0,12,2,4,8,3,0,7
169,32,0,1,120.0,864,6,5,543,1,231.0,3,781,43.0,3,1,264,3,423,3038.0,12430,3,1320,939,20,4,1,80,0,8,2,3,5,4,1,4
170,27,0,1,1157.0,864,17,3,118,1,233.0,3,781,51.0,3,1,264,2,614,3058.0,13364,0,1320,381,16,3,4,80,1,6,3,2,5,2,1,1
174,45,0,1,1268.0,399,4,2,543,1,240.0,3,539,30.0,3,2,287,1,283,5006.0,6319,4,1320,381,11,3,1,80,1,9,3,4,5,4,0,3
175,56,0,1,713.0,864,8,3,543,1,241.0,3,539,67.0,3,1,264,1,283,4257.0,13939,4,1320,381,18,3,3,80,1,19,3,3,2,2,2,2
176,33,0,1,134.0,864,2,3,543,1,242.0,3,781,90.0,3,1,264,4,423,2500.0,10515,0,1320,939,14,3,1,80,0,4,2,4,3,1,0,2
177,19,1,1,303.0,864,2,3,543,1,243.0,2,781,47.0,2,1,231,4,423,1102.0,9241,1,1320,939,22,4,3,80,0,1,3,2,1,0,1,0
178,46,0,1,526.0,399,1,2,147,1,244.0,2,539,92.0,3,3,287,1,283,10453.0,2137,1,1320,939,25,4,3,80,3,24,2,3,24,13,15,7
179,38,0,1,1380.0,864,9,2,543,1,245.0,3,539,75.0,3,1,231,4,423,2288.0,6319,1,1320,939,12,3,3,80,0,2,3,3,2,2,2,1
180,31,0,1,140.0,864,12,1,414,1,246.0,3,539,95.0,3,1,264,4,614,3929.0,6984,8,1320,381,23,4,3,80,1,7,0,3,4,2,0,2
181,34,0,1,629.0,864,27,2,414,1,247.0,4,539,95.0,3,1,264,2,423,2311.0,5711,2,1320,939,15,3,4,80,0,9,3,3,3,2,1,2
182,41,1,1,1356.0,399,20,2,147,1,248.0,2,539,70.0,3,1,78,2,423,3140.0,21728,1,1320,381,22,4,4,80,0,4,5,2,4,3,0,2
183,50,0,1,328.0,864,1,3,414,1,249.0,3,781,86.0,2,1,231,3,614,3690.0,3425,2,1320,939,15,3,4,80,1,5,2,2,3,2,0,2
184,53,0,1,1084.0,864,13,2,414,1,250.0,4,539,57.0,4,2,132,1,283,4450.0,26250,1,1320,939,11,3,3,80,2,5,3,3,4,2,1,3
185,33,0,1,931.0,864,14,3,414,1,252.0,4,539,72.0,3,1,264,2,614,2756.0,4673,1,1320,939,13,3,4,80,1,8,5,3,8,7,1,6
186,40,0,1,989.0,864,4,1,414,1,253.0,4,539,46.0,3,5,90,3,614,18034.8125,6499,1,1320,939,14,3,2,80,1,21,2,3,20,8,9,9
187,55,0,1,692.0,864,14,4,414,1,254.0,3,781,61.0,4,5,74,2,423,18034.8125,13339,8,1320,939,11,3,4,80,0,36,3,3,24,15,2,15
189,51,0,1,313.0,864,3,3,414,1,258.0,4,539,98.0,3,4,116,2,423,13734.0,7192,3,1320,939,18,3,3,80,0,21,6,3,7,7,1,0
190,52,0,1,699.0,864,1,4,543,1,259.0,3,781,65.0,2,5,90,3,614,18034.8125,5678,0,1320,939,14,3,1,80,1,34,5,3,33,18,11,9
191,27,0,1,894.0,864,9,3,414,1,260.0,4,539,99.0,3,1,264,2,423,2279.0,11781,1,1320,939,16,3,4,80,0,7,2,2,7,7,0,3
192,35,1,1,556.0,864,23,2,543,1,261.0,2,781,50.0,2,2,132,3,614,5916.0,15497,3,1320,381,13,3,1,80,0,8,1,3,1,0,0,1
195,37,0,1,290.0,864,21,3,543,1,267.0,2,781,65.0,4,1,264,1,614,3564.0,22977,1,1320,381,12,3,1,80,1,8,3,2,8,7,1,7
198,38,0,1,1261.0,864,2,4,543,1,271.0,4,781,88.0,3,2,132,3,614,6553.0,7259,9,1320,939,14,3,2,80,0,14,3,3,1,0,0,0
199,38,0,1,1084.0,864,29,3,118,1,273.0,4,781,54.0,3,2,132,4,614,6261.0,4185,3,1320,939,18,3,1,80,1,9,3,1,7,7,1,7
203,40,0,1,905.0,864,19,2,414,1,281.0,3,781,99.0,3,2,231,4,614,2741.0,16523,8,1320,381,15,3,3,80,1,15,2,4,7,2,3,7
204,38,1,1,1180.0,864,29,1,414,1,282.0,2,781,70.0,3,2,116,1,614,6673.0,11354,7,1320,381,19,3,2,80,0,17,2,3,1,0,0,0
205,29,1,1,121.0,399,27,3,147,1,283.0,2,539,35.0,3,3,287,4,614,7639.0,24525,1,1320,939,22,4,4,80,3,10,3,2,10,4,1,9
206,22,0,1,1136.0,864,5,3,543,1,284.0,4,781,60.0,4,1,264,2,283,2328.0,12392,1,1320,381,16,3,1,80,1,4,2,2,4,2,2,2
209,46,0,1,644.0,864,1,4,414,1,288.0,4,781,97.0,3,3,116,1,283,9396.0,12368,7,1320,939,16,3,3,80,1,17,3,3,4,2,0,3
210,32,1,1,1045.0,399,4,4,414,1,291.0,4,781,32.0,1,3,287,4,614,10400.0,25812,1,1320,939,11,3,3,80,0,14,2,2,14,8,9,8
213,51,0,1,1469.0,864,8,4,543,1,296.0,2,781,81.0,2,3,74,2,614,12490.0,15736,5,1320,939,16,3,4,80,2,16,5,1,10,9,4,7
214,30,1,1,1005.0,864,3,3,118,1,297.0,4,539,88.0,3,1,264,1,423,2657.0,8556,5,1320,381,11,3,3,80,0,8,5,3,5,2,0,4
215,41,0,1,896.0,399,6,3,543,1,298.0,4,539,75.0,3,3,90,4,423,13591.0,14674,3,1320,381,18,3,3,80,0,16,3,3,1,0,0,0
217,29,1,1,992.0,864,1,3,118,1,300.0,3,781,85.0,3,1,264,3,423,2058.0,19757,0,1320,939,14,3,4,80,0,7,1,2,6,2,1,5
219,54,0,1,1147.0,399,3,3,147,1,303.0,4,539,52.0,3,2,287,1,614,5940.0,17011,2,1320,939,14,3,4,80,1,16,4,3,6,2,0,5
220,36,0,1,1396.0,864,5,2,543,1,304.0,4,781,62.0,3,2,231,2,423,5914.0,9945,8,1320,939,16,3,4,80,0,16,3,4,13,11,3,7
221,33,0,1,147.0,864,4,4,414,1,305.0,3,539,47.0,2,1,264,2,614,2622.0,13248,6,1320,939,21,4,4,80,0,7,3,3,3,2,1,1
223,38,0,1,119.0,399,3,3,543,1,307.0,1,781,76.0,3,3,287,3,283,10609.0,9647,0,1320,939,12,3,3,80,2,17,6,2,16,10,5,13
225,59,0,1,142.0,864,3,3,543,1,309.0,3,781,70.0,2,1,264,4,614,2177.0,8456,3,1320,939,17,3,1,80,1,7,6,3,1,0,0,0
229,29,1,1,896.0,864,18,1,414,1,315.0,3,781,86.0,2,1,264,4,423,2389.0,14961,1,1320,381,13,3,3,80,0,4,3,2,4,3,0,1
230,52,0,1,1323.0,864,2,3,543,1,316.0,3,539,89.0,2,1,231,4,423,3212.0,3300,7,1320,939,15,3,2,80,0,6,3,2,2,2,2,2
231,42,0,1,532.0,864,4,2,118,1,319.0,3,781,58.0,3,5,90,4,614,18034.8125,4933,1,1320,939,11,3,4,80,0,22,3,3,22,17,11,15
232,59,0,1,818.0,57,6,2,414,1,321.0,2,781,52.0,3,1,48,3,614,2267.0,25657,8,1320,939,17,3,4,80,0,7,2,2,2,2,2,2
233,50,0,1,854.0,399,1,4,414,1,323.0,4,539,68.0,3,5,90,4,283,18034.8125,24118,3,1320,939,11,3,3,80,1,32,3,2,7,0,0,6
234,33,1,1,813.0,864,14,3,414,1,325.0,3,781,58.0,3,1,231,4,614,2436.0,22149,5,1320,381,13,3,3,80,1,8,2,1,5,4,0,4
235,43,0,1,1034.0,399,16,3,147,1,327.0,4,539,80.0,3,4,90,4,614,16064.0,7744,5,1320,381,22,4,3,80,1,22,3,3,17,13,1,9
236,33,1,1,465.0,864,2,2,543,1,328.0,1,539,39.0,3,1,231,1,614,2707.0,21509,7,1320,939,20,4,1,80,0,13,3,4,9,7,1,7
238,32,0,1,1401.0,399,4,2,543,1,330.0,3,539,56.0,3,1,78,2,614,3931.0,20990,2,1320,939,11,3,1,80,1,6,5,3,4,3,1,2
239,32,1,1,515.0,864,1,3,543,1,331.0,4,781,62.0,2,1,231,3,423,3730.0,9571,0,1320,381,14,3,4,80,0,4,2,1,3,2,1,2
240,39,0,1,1431.0,864,1,4,414,1,332.0,3,539,96.0,3,1,231,3,283,2232.0,15417,7,1320,939,14,3,3,80,3,7,1,3,3,2,1,2
242,41,0,1,1411.0,864,19,2,543,1,334.0,3,781,36.0,3,2,264,1,283,3072.0,19877,2,1320,939,16,3,1,80,2,17,2,2,1,0,0,0
243,40,0,1,1300.0,864,24,2,118,1,335.0,1,781,62.0,3,2,264,4,283,3319.0,24447,1,1320,939,17,3,1,80,2,9,3,3,9,8,4,7
244,45,0,1,252.0,864,1,3,75,1,336.0,3,781,70.0,4,5,90,4,614,18034.8125,15970,0,1320,939,11,3,3,80,1,25,2,3,24,0,1,7
246,33,0,1,832.0,864,5,4,543,1,338.0,3,539,63.0,2,1,264,4,614,2911.0,14776,1,1320,939,13,3,3,80,1,2,2,2,2,2,0,2
247,34,0,1,470.0,864,2,4,543,1,339.0,4,781,84.0,2,2,132,1,614,5957.0,23687,6,1320,939,13,3,2,80,1,13,3,3,11,9,5,9
248,37,0,1,1017.0,864,1,2,414,1,340.0,3,539,83.0,2,1,264,1,614,3920.0,18697,2,1320,939,14,3,1,80,1,17,2,2,3,1,0,2
252,29,0,1,665.0,864,15,3,543,1,346.0,3,781,60.0,3,1,264,4,423,2340.0,22673,1,1320,939,19,3,1,80,0,6,1,3,6,5,1,5
253,42,0,1,916.0,864,17,2,543,1,347.0,4,539,82.0,4,2,264,1,423,6545.0,23016,3,1320,381,13,3,3,80,0,10,1,3,3,2,0,2
254,29,0,1,1247.0,399,20,2,147,1,349.0,4,781,45.0,3,2,287,4,283,6931.0,10732,2,1320,939,14,3,4,80,1,10,2,3,3,2,0,2
255,25,0,1,685.0,864,1,3,543,1,350.0,1,539,62.0,3,2,132,3,614,4898.0,7505,0,1320,939,12,3,4,80,2,5,3,3,4,2,1,2
256,42,0,1,269.0,864,2,3,414,1,351.0,4,539,56.0,2,1,231,1,283,2593.0,8007,0,1320,381,11,3,3,80,1,10,4,3,9,6,7,8
257,40,0,1,1416.0,864,2,2,414,1,352.0,1,781,49.0,3,5,74,3,283,18034.8125,5949,0,1320,939,19,3,4,80,1,22,5,3,21,7,3,9
258,51,0,1,833.0,864,1,3,543,1,353.0,3,781,96.0,3,1,264,4,614,2723.0,23231,1,1320,939,11,3,2,80,0,1,0,2,1,0,0,0
262,32,0,1,128.0,864,2,1,118,1,362.0,4,781,84.0,2,2,231,1,423,2176.0,19737,4,1320,939,13,3,4,80,0,9,5,3,6,2,0,4
263,46,0,1,488.0,399,2,3,118,1,363.0,3,539,75.0,1,4,90,2,614,16872.0,14977,3,1320,381,12,3,2,80,1,28,2,2,7,7,7,7
264,28,1,1,529.0,864,2,4,543,1,364.0,1,781,79.0,3,1,231,3,423,3485.0,14935,2,1320,939,11,3,3,80,0,5,5,1,0,0,0,0
265,29,0,1,1210.0,399,2,3,414,1,366.0,1,781,78.0,2,2,287,2,614,6644.0,3687,2,1320,939,19,3,2,80,2,10,2,3,0,0,0,0
266,31,0,1,1463.0,864,23,3,414,1,367.0,2,781,64.0,2,2,116,4,614,5582.0,14408,0,1320,939,21,4,2,80,1,10,2,3,9,0,7,8
268,45,0,1,1385.0,864,20,2,414,1,372.0,3,781,79.0,3,4,116,4,614,13496.0,7501,0,1320,381,14,3,2,80,0,21,2,3,20,7,4,10
269,36,0,1,1403.0,864,6,3,543,1,373.0,4,781,47.0,3,1,231,4,614,3210.0,20251,0,1320,939,11,3,3,80,1,16,4,3,15,13,10,11
270,55,0,1,452.0,864,1,3,414,1,374.0,4,781,81.0,3,5,90,1,423,18034.8125,18938,0,1320,381,14,3,3,80,0,37,2,3,36,10,4,13
272,28,0,1,1158.0,864,9,3,414,1,377.0,4,781,94.0,3,1,264,4,614,2070.0,2613,1,1320,939,23,4,4,80,1,5,3,2,5,2,0,4
273,37,0,1,228.0,399,6,4,414,1,378.0,3,781,98.0,3,2,287,4,614,6502.0,22825,4,1320,939,14,3,2,80,1,7,5,4,5,4,0,1
274,21,0,1,996.0,864,3,2,414,1,379.0,4,781,100.0,2,1,264,3,423,3230.0,10531,1,1320,939,17,3,1,80,0,3,4,4,3,2,1,0
276,35,0,1,1315.0,864,22,3,543,1,381.0,2,539,71.0,4,3,90,2,283,11996.0,19100,7,1320,939,18,3,2,80,1,10,6,2,7,7,6,2
277,38,0,1,322.0,399,7,2,414,1,382.0,1,539,44.0,4,2,287,1,283,5605.0,19191,1,1320,381,24,4,3,80,1,8,3,3,8,0,7,7
279,50,0,1,797.0,864,4,1,543,1,385.0,1,781,96.0,3,5,74,2,283,18034.8125,15815,3,1320,939,14,3,1,80,2,28,4,2,10,4,1,6
280,53,0,1,1070.0,864,3,4,414,1,386.0,3,781,45.0,3,4,74,3,614,17584.0,21016,3,1320,381,16,3,4,80,3,21,5,2,5,3,1,3
281,42,0,1,635.0,399,1,1,543,1,387.0,2,781,99.0,3,2,287,3,614,4907.0,24532,1,1320,939,25,4,3,80,0,20,3,3,20,16,11,6
283,55,0,1,147.0,864,20,2,118,1,389.0,2,781,37.0,3,2,231,4,614,5415.0,15972,3,1320,381,19,3,4,80,1,12,4,3,10,7,0,8
285,37,0,1,1372.0,864,1,3,543,1,391.0,4,539,42.0,3,1,264,4,423,2115.0,15881,1,1320,939,12,3,2,80,0,17,3,3,17,12,5,7
287,38,0,1,688.0,864,23,4,543,1,393.0,4,781,82.0,3,2,116,4,283,5745.0,18899,9,1320,939,14,3,2,80,1,10,2,3,2,2,1,2
288,26,1,1,1449.0,864,16,4,414,1,394.0,1,781,45.0,3,1,231,2,283,2373.0,14180,2,1320,381,13,3,4,80,1,5,2,3,3,2,0,2
289,28,0,1,1117.0,864,8,2,543,1,395.0,4,539,66.0,3,1,264,4,423,3310.0,4488,1,1320,939,21,4,4,80,0,5,3,3,5,3,0,2
291,36,0,1,506.0,864,3,3,118,1,397.0,3,781,30.0,3,2,264,2,423,4485.0,26285,4,1320,939,12,3,4,80,0,10,2,3,8,0,7,7
293,26,1,1,950.0,399,4,4,147,1,401.0,4,781,48.0,2,2,287,4,423,5828.0,8450,1,1320,381,12,3,2,80,0,8,0,3,8,7,7,4
296,18,1,1,230.0,864,3,3,543,1,405.0,3,781,54.0,3,1,231,3,423,1420.0,25233,1,1320,939,13,3,3,80,0,0,2,3,0,0,0,0
